epoch,acc,loss
0,0.30556154,15.115055231321794
1,0.7699321,8.510386935430978
2,0.8562179,7.111038210649453
3,0.8852745,6.502557010915638
4,0.8995331,6.165692668920498
5,0.90798396,5.946987194617449
6,0.913385,5.804746745339674
7,0.9173041,5.696052185171639
8,0.9204586,5.611657232580745
9,0.9226671,5.543982699141299
10,0.92490274,5.484476082097717
11,0.92649055,5.437656505108718
12,0.92762893,5.393787131651664
13,0.92896134,5.35546412121608
14,0.9299903,5.316802780895723
15,0.9310208,5.283812135153994
16,0.93193054,5.256721959246576
17,0.9325962,5.232483633756218
18,0.9332257,5.212451001266925
19,0.93377715,5.192820795648248
20,0.9344029,5.174446369701819
21,0.9346761,5.158920887864228
22,0.9352534,5.144182143603837
23,0.9356755,5.12933935869172
24,0.9360355,5.118058229473918
25,0.93650573,5.104092485293342
26,0.9367531,5.0923604528710245
27,0.9370037,5.082341232687245
28,0.9373921,5.070996105356448
29,0.93762106,5.061533191151238
