epoch,acc,loss
0,0.6568439,11.240976409470997
1,0.9164601,6.649184006915896
2,0.930313,6.17660812634714
3,0.93506956,5.9744422009953135
4,0.9372297,5.861654566179645
5,0.93851763,5.784330509285922
6,0.9393803,5.729637974506946
7,0.94015336,5.686801772259341
8,0.9407634,5.651235931216517
9,0.94110566,5.624240792724309
10,0.9414573,5.601447533395481
11,0.9418445,5.581222050927115
12,0.9420692,5.564895055556524
13,0.94236445,5.548613624089711
14,0.94249445,5.534775940477953
15,0.9426004,5.52244638956394
16,0.9428472,5.510987250686656
17,0.9429767,5.500041127288757
18,0.94304407,5.4907939954203195
19,0.9431612,5.482263484640185
20,0.9432024,5.4736272253035825
21,0.94343114,5.464941378068303
22,0.94349694,5.456840007983586
23,0.94360447,5.449919482100149
24,0.9436783,5.444203933715988
25,0.9437494,5.4370657978576125
26,0.94381434,5.431526327024159
27,0.94380265,5.4272713786147655
28,0.94387376,5.422984399407253
29,0.9437879,5.418388411481323
